Dataset Name,Archive Type,Proxy Type,Minimum Year,Maximum Year,Latitude,Longitude,DOI
P1B3.deVernal.2005,marine sediment,dinocyst,-7676,1824.39,73.683,-162.66,10.1029/2005PA001157
Flarken.Sepp.2005,lake sediment,pollen,-7031.785201,1999.622716,58.6,13.7,10.1007/s00382-005-0024-5
A7.Sun.2005,marine sediment,Mg/Ca,-13025,866,27.8,127.0,10.1029/2004PA001061
2005-804.Ledu.2013,marine sediment,dinocyst,-5780.8,926.4,68.9925,-106.5735,10.1016/j.quascirev.2010.06.018
HLY0501.deVernal.2013,marine sediment,dinocyst,-6259.4,1724.65,72.6947,-157.52,10.1016/j.quascirev.2013.07.006
s53s52.Kaislahti.2010,peat,d13C,-4221.296296,1990,59.8917,-104.2083,10.1016/j.palaeo.2010.09.029
PathLake.Neil.2014,lake sediment,pollen,-7171,1943,43.8708,-64.9271,10.1016/j.yqres.2014.01.001
M25and4KL11.Emeis.2003,lake sediment,alkenone,-9210,1800,36.7,17.7,10.1191/0959683603hl634rp
ScreaminglynxLake.Clegg.2011,lake sediment,chironomid,-8661,1993,66.0667,-145.4,10.1073/pnas.1110913108
MD032707.Weldeab.2007,lake sediment,Mg/Ca,-11150,1590,2.5,9.4,10.1126/science.1140461
MooseLake.Clegg.2010,lake sediment,chironomid,-4057.664,1970.03483,61.374,-143.5988,10.1016/j.quascirev.2010.08.001
DevilsLake.Shuman.2016,lake sediment,pollen,-9050,1900,43.42,-89.73,10.1016/j.quascirev.2016.03.009
GeoB65181.Schefu.2005,marine sediment,alkenone,-12740,1920,-5.6,11.2,10.1038/nature03945
MSM055_712-2.Werner.2015,marine sediment,foraminifera,-10003,1529,78.9157,6.7672,10.1016/j.quascirev.2015.09.007
Mount_Honey,marine sediment,pollen,-10613,1967.9167,-52.5,169.1,10.1038/ngeo931
malangen..2004,marine sediment,d18O,-5941.5,370,69.5,18.39,10.2113/0340034
Lake850.Larocque.2004,lake sediment,chironomid,-6089,1950,68.4,19.2,10.1016/j.quascirev.2004.04.006
SO189-39KL.Mohtadi.2014,marine sediment,Mg/Ca,-43380,1540,-0.7833,99.9,10.1038/nature13196
JM98-1.Husum.2004,marine sediment,d18O,-5941,370,69.5,18.39,10.1191/0959683604hl752rp
MD952011_HM794,marine sediment,foraminifera,-12989,1369,67.0,7.6,10.1029/2002PA000780
Gammelheimvatnet.Sepp.2009,lake sediment,pollen,-7018.1,1992.16,68.4667,17.75,10.5194/cp-5-523-2009
MD95-2015..2002,marine sediment,alkenone,-8077.6,1225.2,58.7667,-25.9667,10.1016/S0277-3791(01)00105-6
ODP658C.deMenocal.1997,marine sediment,foraminifera,-12400,1862,20.8,-18.6,10.1126/science.288.5474.2198
MD022529.Leduc.2007,lake sediment,alkenone,-12685,1838,8.2,-84.1,10.1038/nature05578
RL11.Emeus.2000,marine sediment,alkenone,-8520,1796.53,36.746,17.7175,10.1016/S0031-0182(00)00053-5
LittlePond.Marsicek.2013,lake sediment,pollen,-9050,1950,42.6759,-72.1917,10.1016/j.quascirev.2013.09.001
MD79257,lake sediment,foraminifera,-13745.48868,396.2774809,-20.4,36.3,10.1029/2006GC001514
hail..1995,lake sediment,pollen,-9384,1883,60.0333,-129.0167,10.7202/033027ar
KY07_04_01.Kubota.2010,marine sediment,Mg/Ca,-11131.62657,1929.065789,31.6,129.0,10.1029/2009PA001891
LakeTurkana.Berke.2012,lake sediment,TEX86,-4072.916,856.401,2.7125,36.537,10.1016/j.epsl.2012.07.008
SO189-119KL.Mohtadi.2014,marine sediment,Mg/Ca,-34110,1890,3.5167,96.3167,10.1038/nature13196
gloppsjon..2009,lake sediment,pollen,-7021.748047,1950,59.83,16.53,10.5194/cp-5-523-2009
ODP658C_UK37.Zhao.1995,marine sediment,alkenone,-20639,1813,20.75,-18.58,10.1029/94PA03354
MD982165,marine sediment,Mg/Ca,-12739.3,1183,-9.7,118.3,10.1029/2006GC001514
SN-6.STiwari.2015,marine sediment,Mg/Ca,-2822.19,1795.79,12.486,74.133,10.1177/0959683615585840
RAPID-12.Thornalley.2009,marine sediment,Mg/Ca,-9918.5,1950,62.0905,-17.8197,10.1038/nature07717
chuna..2005,lake sediment,pollen,-6868.769531,1950,67.95,32.48,10.1191/0959683605hl793rr
Hams.Shuman.2016,lake sediment,pollen,-9050,1950,43.24,-80.41,10.1016/j.quascirev.2016.03.009
MD952042,marine sediment,alkenone,-108150,1950,37.75,-10.17,10.1016/S0031-0182(01)00444-8
